PlayerID	PlayerTrueName	PlayerTeams	SimpleMin	SimplePossFor	SimplePossOpp	SimplePointsFor	SimplePointsOpp	SimpleOffRtg	SimpleDefRtg	SimpleOverallRtg	SimpleORebFor	SimpleORebOpp	SimpleDRebFor	SimpleDRebOpp	SimpleORebRate	SimpleDRebRate	WeightedMinOffCourt	WeightedPossForOffCourt	WeightedPossOppOffCourt	WeightedPointsForOffCourt	WeightedPointsOppOffCourt	WeightedOffRtgOffCourt	WeightedDefRtgOffCourt	WeightedOverallRtgOffCourt	WeightedORebForOffCourt	WeightedORebOppOffCourt	WeightedDRebForOffCourt	WeightedDRebOppOffCourt	WeightedORebRateOffCourt	WeightedDRebRateOffCourt	WeightedOverallRtgOnCourt	WeightedORebRateOnCourt	WeightedDRebRateOnCourt	WeightedOverallRtgOnCourtMinusOffCourt	WeightedORebRateOnCourtMinusOffCourt	WeightedDRebRateOnCourtMinusOffCourt	AdjustedPM	AdjustedPMStdErr
1	Howard, Josh	UTA	523.3500	987	997	1007	1042	102.026	104.514	-2.4872	208	172	343	351	0.372093	0.666019	835.6500	1603	1597	1678	1682	104.679	105.323	-0.6438	292	290	569	563	0.3415	0.6624	-2.4872	0.372093	0.666019	-1.8434	0.0306	0.0036	-4.83561	4.22743
2	Thomas, Kurt	POR	513.7333	1000	982	995	927	99.5	94.3992	5.10081	139	176	368	379	0.26834	0.676471	994.2667	1923	1921	2026	1960	105.356	102.03	3.326	334	343	665	695	0.3246	0.6597	5.10081	0.26834	0.676471	1.7748	-0.0563	0.0168	2.6143	3.82928
3	Dampier, Erick	ATL	25.7500	49	49	53	39	108.163	79.5918	28.5714	13	6	19	18	0.419355	0.76	1300.2500	2438	2444	2500	2463	102.543	100.777	1.7657	410	406	911	926	0.3069	0.6917	28.5714	0.419355	0.76	26.8057	0.1125	0.0683	NULL	NULL
4	Marion, Shawn	DAL	903.7333	1730	1743	1735	1726	100.289	99.0247	1.26435	301	308	654	658	0.313869	0.679834	551.2667	1057	1041	1103	1002	104.352	96.2536	8.0983	155	188	411	393	0.2828	0.6861	1.26435	0.313869	0.679834	-6.834	0.0311	-0.0063	-7.353	3.33209
5	Nowitzki, Dirk	DAL	875.6667	1673	1653	1743	1624	104.184	98.2456	5.93849	256	274	630	619	0.292571	0.696903	579.3333	1114	1131	1095	1104	98.2944	97.6127	0.6817	200	222	435	432	0.3165	0.6621	5.93849	0.292571	0.696903	5.2568	-0.0239	0.0348	11.0697	3.19503
6	Terry, Jason	DAL	853.5333	1636	1617	1669	1631	102.017	100.866	1.15131	277	290	590	622	0.30812	0.670455	601.4667	1151	1167	1169	1097	101.564	94.0017	7.5621	179	206	475	429	0.2944	0.6975	1.15131	0.30812	0.670455	-6.4108	0.0137	-0.027	1.55523	3.17519
7	Bell, Raja	UTA	601.6667	1132	1135	1202	1228	106.184	108.194	-2.01009	186	194	393	422	0.305921	0.669506	757.3333	1458	1459	1483	1496	101.715	102.536	-0.8213	314	268	519	492	0.3896	0.6595	-2.01009	0.305921	0.669506	-1.1888	-0.0837	0.01	-8.53235	4.21127
8	Nash, Steve	PHX	859.4500	1689	1673	1774	1725	105.033	103.108	1.92437	229	288	623	613	0.271971	0.683864	580.5500	1085	1109	1046	1199	96.4055	108.115	-11.7099	203	191	370	415	0.3285	0.6595	1.92437	0.271971	0.683864	13.6343	-0.0565	0.0244	11.9503	4.81258
10	Jones, James	MIA	254.5000	504	493	545	521	108.135	105.68	2.45541	56	95	181	160	0.259259	0.655797	1210.5000	2336	2355	2569	2324	109.974	98.6837	11.2907	394	417	880	768	0.3391	0.6785	2.45541	0.259259	0.655797	-8.8353	-0.0798	-0.0227	-0.142726	3.47609
12	Diaw, Boris	CHA	838.3167	1605	1597	1503	1716	93.6449	107.451	-13.8066	256	266	592	640	0.285714	0.689977	558.6833	1061	1066	1017	1203	95.853	112.852	-16.9988	208	209	352	390	0.3478	0.6275	-13.8066	0.285714	0.689977	3.1922	-0.0621	0.0625	2.17365	3.63625
14	Daniels, Marquis	BOS	274.6167	507	509	490	487	96.6469	95.6778	0.969143	69	102	186	185	0.271654	0.645833	1074.0500	1984	1985	2011	1974	101.361	99.4458	1.915	310	365	723	710	0.3039	0.6645	0.969143	0.271654	0.645833	-0.9459	-0.0322	-0.0187	-0.107443	4.39893
15	Harris, Devin	UTA	689.9167	1323	1333	1396	1436	105.518	107.727	-2.20917	217	232	454	497	0.303922	0.661808	669.0833	1267	1261	1289	1288	101.736	102.141	-0.4048	283	230	458	417	0.4043	0.6657	-2.20917	0.303922	0.661808	-1.8044	-0.1004	-0.0039	1.25241	4.26552
16	Barbosa, Leandro	TOR	603.6167	1152	1140	1104	1192	95.8333	104.561	-8.72807	193	225	401	418	0.315876	0.640575	707.3833	1306	1319	1298	1360	99.3874	103.108	-3.721	206	242	478	505	0.2897	0.6639	-8.72807	0.315876	0.640575	-5.0071	0.0262	-0.0233	-2.78816	3.6334
17	Diop, DeSagana	CHA	206.3000	382	377	328	380	85.8639	100.796	-14.9319	100	70	147	158	0.387597	0.677419	1190.7000	2284	2286	2192	2539	95.972	111.067	-15.0954	364	405	797	872	0.2945	0.6631	-14.9319	0.387597	0.677419	0.1635	0.0931	0.0143	NULL	NULL
21	Martin, Kenyon	LAC	167.3833	298	297	308	289	103.356	97.3064	6.04931	78	58	117	100	0.438202	0.668571	1239.6167	2340	2340	2527	2465	107.992	105.342	2.6496	470	429	846	838	0.3593	0.6635	6.04931	0.438202	0.668571	3.3997	0.0789	0.0051	3.90725	4.14991
23	Camby, Marcus	POR	679.2833	1280	1297	1369	1301	106.953	100.308	6.64472	231	222	467	456	0.336245	0.677794	828.7167	1643	1606	1652	1586	100.548	98.7547	1.7931	242	297	566	618	0.2814	0.6559	6.64472	0.336245	0.677794	4.8516	0.0548	0.0219	-1.26824	3.61367
