PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
1	Howard, Josh	UTA	523.3500	987	997	1007	1042	102.0263	104.5135	-2.4872	208	172	343	351	0.3721	0.6660	835.6500	1603	1597	1678	1682	104.6787	105.3225	-0.6438	292	290	569	563	0.3415	0.6624	-1.8434	0.0306	0.0036
2	Thomas, Kurt	POR	513.7333	1000	982	995	927	99.5000	94.3992	5.1008	139	176	368	379	0.2683	0.6765	994.2667	1923	1921	2026	1960	105.3562	102.0302	3.3260	334	343	665	695	0.3246	0.6597	1.7748	-0.0563	0.0168
3	Dampier, Erick	ATL	25.7500	49	49	53	39	108.1633	79.5918	28.5714	13	6	19	18	0.4194	0.7600	1300.2500	2438	2444	2500	2463	102.5431	100.7774	1.7657	410	406	911	926	0.3069	0.6917	26.8057	0.1125	0.0683
4	Marion, Shawn	DAL	903.7333	1730	1743	1735	1726	100.2890	99.0247	1.2643	301	308	654	658	0.3139	0.6798	551.2667	1057	1041	1103	1002	104.3519	96.2536	8.0983	155	188	411	393	0.2828	0.6861	-6.8340	0.0311	-0.0063
5	Nowitzki, Dirk	DAL	875.6667	1673	1653	1743	1624	104.1841	98.2456	5.9385	256	274	630	619	0.2926	0.6969	579.3333	1114	1131	1095	1104	98.2944	97.6127	0.6817	200	222	435	432	0.3165	0.6621	5.2568	-0.0239	0.0348
6	Terry, Jason	DAL	853.5333	1636	1617	1669	1631	102.0171	100.8658	1.1513	277	290	590	622	0.3081	0.6705	601.4667	1151	1167	1169	1097	101.5639	94.0017	7.5621	179	206	475	429	0.2944	0.6975	-6.4108	0.0137	-0.0270
7	Bell, Raja	UTA	601.6667	1132	1135	1202	1228	106.1837	108.1938	-2.0101	186	194	393	422	0.3059	0.6695	757.3333	1458	1459	1483	1496	101.7147	102.5360	-0.8213	314	268	519	492	0.3896	0.6595	-1.1888	-0.0837	0.0100
8	Nash, Steve	PHX	859.4500	1689	1673	1774	1725	105.0326	103.1082	1.9244	229	288	623	613	0.2720	0.6839	580.5500	1085	1109	1046	1199	96.4055	108.1154	-11.7099	203	191	370	415	0.3285	0.6595	13.6343	-0.0565	0.0244
10	Jones, James	MIA	254.5000	504	493	545	521	108.1349	105.6795	2.4554	56	95	181	160	0.2593	0.6558	1210.5000	2336	2355	2569	2324	109.9743	98.6837	11.2907	394	417	880	768	0.3391	0.6785	-8.8353	-0.0798	-0.0227
12	Diaw, Boris	CHA	838.3167	1605	1597	1503	1716	93.6449	107.4515	-13.8066	256	266	592	640	0.2857	0.6900	558.6833	1061	1066	1017	1203	95.8530	112.8518	-16.9988	208	209	352	390	0.3478	0.6275	3.1922	-0.0621	0.0625
