Team	Min	PossFor	PossOpp	PointsFor	PointsOpp	OffRtg	DefRtg	OverallRtg	ORebFor	ORebOpp	DRebFor	DRebOpp	ORebRate	DRebRate
ATL	1326.0000	2487	2493	2553	2502	102.654	100.361	2.29279	423	412	930	944	0.309437	0.692996
BOS	1348.6667	2491	2494	2501	2461	100.401	98.6768	1.72462	379	467	909	895	0.297488	0.66061
CHA	1397.0000	2666	2663	2520	2919	94.5236	109.613	-15.0896	464	475	944	1030	0.310576	0.665257
CHI	1488.0000	2800	2802	2989	2724	106.75	97.2163	9.53373	581	512	1087	965	0.375809	0.6798
CLE	1306.0000	2491	2504	2532	2637	101.646	105.312	-3.66558	530	429	886	905	0.369338	0.673764
DAL	1455.0000	2787	2784	2838	2728	101.83	97.9885	3.84142	456	496	1065	1051	0.302588	0.682255
DEN	1460.0000	2913	2912	3082	2988	105.802	102.61	3.19169	481	460	1046	1007	0.323253	0.694555
DET	1397.0000	2597	2594	2531	2787	97.4586	107.44	-9.98164	487	405	868	938	0.341754	0.681854
GSW	1354.0000	2634	2636	2766	2820	105.011	106.98	-1.96888	414	526	885	956	0.30219	0.627215
HOU	1503.0000	2911	2905	3025	2996	103.916	103.133	0.78365	520	509	1022	1017	0.338321	0.667538
IND	1396.6667	2662	2665	2715	2684	101.991	100.713	1.27804	501	516	973	982	0.337829	0.653459
LAC	1407.0000	2638	2637	2835	2754	107.468	104.437	3.03092	548	487	963	938	0.368775	0.664138
LAL	1450.0000	2729	2724	2793	2722	102.345	99.9266	2.4186	493	508	1105	958	0.339766	0.685059
MEM	1541.0000	2949	2949	2995	2961	101.56	100.407	1.15293	580	520	1026	1031	0.360025	0.663648
MIA	1465.0000	2840	2848	3114	2845	109.648	99.8947	9.75322	450	512	1061	928	0.32656	0.674507
MIL	1397.0000	2706	2693	2742	2807	101.33	104.233	-2.90282	483	508	926	1014	0.322645	0.645746
MIN	1440.0000	2829	2832	2890	2854	102.156	100.777	1.3794	525	491	1051	1006	0.342913	0.681582
NJN	672.0000	1221	1215	1272	1356	104.177	111.605	-7.42803	247	263	431	438	0.360584	0.621037
NOH	1397.0000	2578	2576	2547	2680	98.7975	104.037	-5.23975	461	433	927	924	0.332852	0.681618
NYK	1450.0000	2837	2845	2851	2819	100.493	99.0861	1.40736	497	478	994	1029	0.325688	0.675272
OKC	1397.0000	2729	2739	2963	2798	108.575	102.154	6.4205	438	509	1027	883	0.331567	0.66862
ORL	1502.7833	2800	2799	2901	2825	103.607	100.929	2.67824	540	459	1083	1046	0.340479	0.702335
PHI	1445.0000	2704	2712	2853	2605	105.51	96.0546	9.45578	438	488	1063	1061	0.292195	0.685364
PHX	1440.0000	2774	2782	2820	2924	101.658	105.104	-3.44599	432	479	993	1028	0.29589	0.674592
POR	1508.0000	2923	2903	3021	2887	103.353	99.4488	3.90387	473	519	1033	1074	0.305753	0.665593
SAC	1445.0000	2828	2834	2793	3049	98.7624	107.586	-8.82407	578	510	959	1075	0.349667	0.652825
SAS	1459.7833	2781	2779	2956	2823	106.293	101.583	4.7094	463	436	1035	1023	0.311575	0.703603
TOR	1311.0000	2458	2459	2402	2552	97.7217	103.782	-6.0603	399	467	879	923	0.301815	0.653046
UTA	1359.0000	2590	2594	2685	2724	103.668	105.012	-1.34361	500	462	912	914	0.353607	0.663755
WAS	1445.0000	2828	2809	2748	3002	97.1711	106.871	-9.69963	514	559	954	1054	0.327806	0.630535
